Time,Voltage (V),Current (A),Power (W),Energy (kwh),Frequency (Hz),Power Factor
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166336,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166464,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166592,0,0,0,0,0,0
1639166720,0,0,0,0,0,0
1639166720,0,0,0,0,0,0
1639166720,0,0,0,0,0,0
1639166720,0,0,0,0,0,0
1639166720,0,0,0,0,0,0
1639166848,0,0,0,0,0,0
1639166848,0,0,0,0,0,0
1639166848,0,0,0,0,0,0
1639166848,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639166976,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167104,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167232,0,0,0,0,0,0
1639167360,0,0,0,0,0,0
1639167360,0,0,0,0,0,0
1639167360,0,0,0,0,0,0
1639167360,0,0,0,0,0,0
1639167360,0,0,0,0,0,0
1639168256,0,0,0,0,0,0
1639168256,0,0,0,0,0,0
1639168256,243,0.04,0.5,0.05,50,0.06
1639168256,243,0.04,0.5,0.05,50,0.06
1639168256,242.9,0.04,0.5,0.05,50,0.06
1639168256,242.8,0.04,0.5,0.05,50,0.06
1639168256,242.1,0.07,0,0.05,50,0
1639168384,243.1,0.04,0.5,0.05,50,0.06
1639168384,243.1,0.04,0.5,0.05,50,0.06
1639168384,243,0.04,0.4,0.05,50,0.05
1639168384,242.8,0.04,0.5,0.05,50,0.06
1639168384,243,0.04,0.5,0.05,50,0.06
1639168384,242.9,0.04,0.5,0.05,50,0.06
1639168384,242.9,0.04,0.5,0.05,50,0.06
1639168384,242.8,0.04,0.5,0.05,50,0.06
1639168384,242.9,0.04,0.5,0.05,50,0.06
1639168384,242.9,0.04,0.5,0.05,50,0.06
1639168384,243,0.04,0.4,0.05,50,0.05
1639168384,243.1,0.04,0.5,0.05,50,0.06
1639168384,242.9,0.04,0.5,0.05,50,0.06
1639168384,243,0.04,0.4,0.05,50,0.05
1639168384,243.1,0.05,8.2,0.05,50,0.66
1639168384,243,0.05,8,0.05,50,0.66
1639168384,243,0.05,7.8,0.05,50,0.66
1639168384,243.1,0.05,7.6,0.05,50,0.64
1639168512,243.2,0.05,7.4,0.05,50,0.63
1639168512,243.1,0.05,7.3,0.05,50,0.63
1639168512,243.1,0.05,7.1,0.05,50,0.61
1639168512,242.9,0.05,7,0.05,50,0.61
1639168512,243,0.05,6.9,0.05,50,0.6
1639168512,243.1,0.05,6.9,0.05,50,0.6
1639168512,243.1,0.05,6.8,0.05,50,0.6
1639168512,243.1,0.05,6.7,0.05,50,0.59
1639168512,243.1,0.05,6.7,0.05,50,0.6
1639168512,243,0.05,6.6,0.05,50,0.59
1639168512,242.9,0.05,6.5,0.05,50,0.58
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,242.7,0.05,7.2,0.05,50,0.62
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168512,0,0,0,0,0,0
1639168640,0,0,0,0,0,0
1639168640,242.6,0.05,7.2,0.05,50,0.62
1639168640,0,0,0,0,0,0
1639168640,0,0,0,0,0,0
1639168640,242.5,0.05,6.4,0.05,50,0.57
1639168640,0,0,0,0,0,0
1639168640,242.6,0.05,6.1,0.05,49.9,0.56
1639168640,242.6,0.05,6,0.05,49.9,0.55
1639168640,242.7,0.05,6,0.05,49.9,0.55
1639168768,242.7,0.04,5.8,0.05,50,0.54
1639168768,242.7,0.04,5.8,0.05,49.9,0.54
1639168768,242.6,0.04,5.8,0.05,49.9,0.54
1639168768,242.7,0.04,5.8,0.05,49.9,0.54
1639168768,242.6,0.04,5.7,0.05,49.9,0.53
1639168768,242.5,0.04,5.7,0.05,49.9,0.53
1639168768,242.7,0.04,5.7,0.05,49.9,0.53
1639168768,242.6,0.12,25.6,0.05,50,0.91
1639168768,242.8,0.06,11.4,0.05,49.9,0.77
1639168768,242.8,0.06,10.8,0.05,49.9,0.75
1639168768,242.8,0.06,10.4,0.05,49.9,0.74
1639168768,242.6,0.06,10,0.05,49.9,0.74
1639168768,242.7,0.06,9.8,0.05,49.9,0.72
1639168768,242.6,0.05,9.7,0.05,49.9,0.73
1639168768,242.6,0.05,9.6,0.05,49.9,0.72
1639168768,242.6,0.05,9.3,0.05,49.9,0.71
1639168768,242.6,0.05,9.3,0.05,49.9,0.71
1639168768,242.6,0.05,9.2,0.05,49.9,0.7
1639168768,242.6,0.04,4.9,0.05,49.9,0.48
1639168768,242.7,0.04,4.8,0.05,49.9,0.47
1639168768,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639168896,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169024,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,0,0,0,0,0,0
1639169152,242.8,0.04,2.5,0.05,50,0.26
1639169280,242.8,0.04,0.5,0.05,49.9,0.06
1639169280,242.8,0.04,0.5,0.05,49.9,0.06
1639169280,242.8,0.04,0.5,0.05,49.9,0.06
1639169280,242.8,0.04,0.5,0.05,49.9,0.06
1639169280,243,0.04,0.4,0.05,49.9,0.05
1639169280,243,0.04,0.5,0.05,49.9,0.06
1639169280,243,0.04,0.4,0.05,49.9,0.05
1639169280,242.8,0.04,0.5,0.05,49.9,0.06
1639169280,242.7,0.04,0.5,0.05,49.9,0.06
1639169280,242.5,0.08,15.4,0.05,49.9,0.79
1639169280,242.6,0.04,0.5,0.05,49.9,0.06
1639169280,0,0,0,0,0,0
1639169536,0,0,0,0,0,0
1639169536,0,0,0,0,0,0
1639169536,0,0,0,0,0,0
1639169536,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169664,0,0,0,0,0,0
1639169920,0,0,0,0,0,0
1639169920,0,0,0,0,0,0
1639169920,0,0,0,0,0,0
1639170048,0,0,0,0,0,0
1639170048,0,0,0,0,0,0
1639170048,0,0,0,0,0,0
1639170048,242.5,0.1,20.9,0.05,49.9,0.9
1639170048,242.7,0.05,8.1,0.05,49.9,0.67
1639170048,242.7,0.05,7.8,0.05,49.9,0.66
1639170048,242.8,0.05,7.5,0.05,49.9,0.63
1639170048,242.8,0.05,7.3,0.05,49.9,0.63
1639170048,242.8,0.05,6.9,0.05,49.9,0.6
1639170048,242.7,0.05,6.8,0.05,49.9,0.6
1639170048,242.8,0.05,6.7,0.05,49.9,0.59
1639170048,242.6,0.05,6.7,0.05,49.9,0.6
1639170048,242.7,0.06,11.9,0.05,49.9,0.78
1639170048,242.7,0.06,11.6,0.05,49.9,0.78
1639170048,242.6,0.06,11.3,0.05,49.8,0.76
1639170176,242.7,0.06,11.1,0.05,49.9,0.76
1639170176,242.8,0.06,10.9,0.05,49.9,0.76
1639170176,242.8,0.06,10.7,0.05,49.9,0.76
1639170176,242.7,0.06,10.4,0.05,49.9,0.74
1639170176,242.7,0.06,10.3,0.05,49.9,0.74
1639170176,242.8,0.06,10.2,0.05,49.9,0.74
1639170176,242.9,0.06,10,0.05,49.9,0.74
1639170176,242.8,0.06,9.9,0.05,49.9,0.73
1639170176,242.6,0.05,9.7,0.05,49.9,0.73
1639170176,242.6,0.05,9.6,0.05,49.9,0.72
1639170176,242.6,0.05,9.5,0.05,49.9,0.71
1639170176,242.5,0.05,9.4,0.05,49.8,0.72
1639170176,242.5,0.05,9.2,0.05,49.9,0.7
1639170176,242.6,0.04,5,0.05,49.9,0.49
1639170176,242.7,0.04,4.9,0.05,49.9,0.48
1639170176,242.6,0.04,5,0.05,49.9,0.49
1639170176,242.6,0.04,5,0.05,49.8,0.49
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639170304,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173248,243.1,0.05,9.2,0.05,49.9,0.71
1639173248,243,0.05,8.4,0.05,50,0.68
1639173248,243,0.05,8,0.05,49.9,0.66
1639173248,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173248,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,0,0,0,0,0,0
1639173376,243,0.05,8.8,0.05,49.9,0.7
1639173376,243,0.05,8,0.05,49.9,0.66
1639173376,242.9,0.05,7.6,0.05,49.9,0.64
1639173376,242.8,0.05,7.4,0.05,49.9,0.63
1639173376,242.6,0.05,7.3,0.05,49.9,0.63
1639173376,242.8,0.05,7.2,0.05,49.9,0.62
1639173504,242.8,0.05,7.1,0.05,49.9,0.62
1639173504,242.8,0.05,6.9,0.05,49.9,0.6
1639173504,242.7,0.05,6.8,0.05,49.9,0.6
1639173504,242.7,0.05,6.7,0.05,49.9,0.59
1639173504,242.6,0.05,6.7,0.05,49.9,0.6
1639173504,242.7,0.05,6.6,0.05,49.9,0.59
1639173504,242.8,0.05,6.5,0.05,49.9,0.58
1639173504,242.8,0.05,6.5,0.05,50,0.58
1639173504,242.8,0.05,6.4,0.05,49.9,0.57
1639173504,242.9,0.05,6.4,0.05,49.9,0.57
1639173504,243,0.05,6.3,0.05,50,0.58
1639173504,242.9,0.05,6.2,0.05,50,0.57
1639173504,242.8,0.07,12.9,0.05,49.9,0.81
1639173504,242.8,0.06,11.8,0.05,49.9,0.78
1639173504,243,0.06,11.5,0.05,49.9,0.78
1639173504,242.9,0.06,11.1,0.05,49.9,0.76
1639173504,242.9,0.06,10.9,0.05,49.9,0.76
1639173504,242.9,0.06,10.7,0.05,49.9,0.75
1639173504,242.9,0.06,10.5,0.05,49.9,0.75
1639173504,242.9,0.06,10.3,0.05,49.9,0.73
1639173504,242.8,0.06,10.1,0.05,49.9,0.73
1639173504,242.9,0.06,10,0.05,49.9,0.74
1639173632,243.1,0.06,9.8,0.05,49.9,0.72
1639173632,243.2,0.05,9.5,0.05,49.9,0.71
1639173632,243.1,0.05,9.4,0.05,49.9,0.72
1639173632,243.1,0.05,9.3,0.05,49.9,0.71
1639173632,243.1,0.05,9.2,0.05,49.9,0.7
1639173632,243,0.05,9.1,0.05,49.9,0.71
1639173632,243.1,0.05,9,0.05,50,0.7
1639173632,243.2,0.05,8.9,0.05,50,0.69
1639173632,243.2,0.05,8.9,0.05,50,0.69
1639174400,0,0,0,0,0,0
1639174400,0,0,0,0,0,0
1639174400,0,0,0,0,0,0
1639174400,0,0,0,0,0,0
1639174400,0,0,0,0,0,0
1639174400,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174528,0,0,0,0,0,0
1639174656,240.5,2.69,647.8,0.05,50,1
1639174656,240.4,2.69,647,0.06,50,1
1639174656,240.3,2.68,644.7,0.06,50,1
1639174656,240.5,2.68,645.5,0.06,50,1
1639174656,240.6,2.68,645.3,0.06,50,1
1639174656,240.5,2.68,644.7,0.06,50,1
1639174656,240.5,2.68,645,0.06,50,1
1639174656,240.6,2.68,645.6,0.06,50,1
1639174656,240.5,2.68,645.1,0.06,50,1
1639174656,240.6,2.68,645.3,0.06,50,1
1639174656,240.6,2.68,645.5,0.06,50,1
1639174656,240.2,2.67,642.2,0.08,50,1
1639174784,240.3,2.67,642.7,0.08,50,1
1639174784,240.3,2.67,642.6,0.08,50,1
1639174784,240.2,2.67,642.4,0.08,50,1
1639174784,240.3,2.68,642.9,0.08,50,1
1639174784,240.3,2.68,642.9,0.08,50,1
1639174784,240.2,2.67,642.4,0.09,50,1
1639174784,240.3,2.67,642.6,0.09,50,1
1639174784,240.2,2.67,642,0.09,49.9,1
1639174784,240.1,2.67,642,0.09,50,1
1639174784,240.2,2.67,642.2,0.09,49.9,1
1639174784,240.1,2.67,641.9,0.09,49.9,1
1639174784,240.2,2.67,642.3,0.09,50,1
1639174784,240.2,2.67,642.2,0.09,50,1
1639174784,240.1,2.67,641.7,0.09,49.9,1
1639174784,240.2,2.67,642.2,0.09,50,1
1639174784,240.1,2.67,641.8,0.1,50,1
1639174784,240.2,2.67,642.4,0.1,49.9,1
1639174784,240.3,2.68,642.8,0.1,50,1
1639174912,240.2,2.67,642.3,0.1,50,1
1639174912,240.1,2.67,642.1,0.1,50,1
1639174912,240,2.67,641.4,0.1,50,1
1639174912,240,2.67,641.4,0.1,49.9,1
1639174912,239.9,2.67,640.6,0.1,50,1
1639174912,239.9,2.67,640.8,0.11,49.9,1
1639174912,239.9,2.67,640.8,0.11,49.9,1
1639174912,239.9,2.67,640.8,0.11,49.9,1
1639174912,239.9,2.67,641.2,0.11,49.9,1
1639174912,240,2.67,641.3,0.11,50,1
1639174912,240,2.67,641.5,0.11,49.9,1
1639174912,240,2.68,642.4,0.11,50,1
1639174912,240.1,2.67,641.9,0.11,50,1
1639174912,240.2,2.68,642.7,0.11,49.9,1
1639174912,240.3,2.68,643,0.12,50,1
1639174912,240.3,2.68,643.3,0.12,50,1
1639174912,240.3,2.68,643.1,0.12,50,1
1639174912,240.3,2.68,643,0.12,50,1
1639174912,240.3,2.68,643.1,0.12,50,1
1639174912,240.3,2.68,643.3,0.12,50,1
1639174912,240.1,2.67,642.2,0.12,50,1
1639174912,240.2,2.67,642.3,0.12,50,1
1639174912,240.2,2.67,642.4,0.12,49.9,1
1639175040,240.1,2.67,642.3,0.12,49.9,1
1639175040,240.1,2.67,642.3,0.13,50,1
1639175040,240.2,2.67,642.4,0.13,50,1
1639175040,240.1,2.68,642.2,0.13,50,1
1639175040,240.1,2.68,642.7,0.13,50,1
1639175040,240.2,2.68,642.7,0.13,50,1
1639175040,240.1,2.67,642,0.13,50,1
1639175040,239.9,2.67,641,0.13,50,1
1639175040,240.1,2.67,642.3,0.14,50,1
1639175040,240.1,2.67,642.2,0.14,50,1
1639175040,240.1,2.67,642,0.14,49.9,1
1639175040,240.1,2.67,642,0.14,50,1
1639175040,240.1,2.67,641.9,0.14,49.9,1
1639175040,240.2,2.68,642.6,0.14,49.9,1
1639175040,240.2,2.68,642.7,0.14,50,1
1639175040,240.3,2.68,643.3,0.14,50,1
1639175040,240.2,2.68,642.8,0.14,49.9,1
1639175040,240.2,2.67,642.3,0.15,49.9,1
1639175168,240.3,2.68,642.9,0.15,49.9,1
1639175168,240.3,2.68,643,0.15,49.9,1
1639175168,240.3,2.68,643.2,0.15,50,1
1639175168,240.4,2.68,643.6,0.15,49.9,1
1639175168,240.3,2.68,643.1,0.15,50,1
1639175168,240.4,2.68,643.5,0.15,50,1
1639175168,240.4,2.68,643.5,0.15,50,1
1639175168,240.4,2.68,643.8,0.15,50,1
1639175168,240.5,2.68,644.2,0.15,50,1
1639175168,240.5,2.68,644.4,0.16,50,1
1639175168,240.5,2.68,644.2,0.16,50,1
1639175168,240.5,2.68,644.2,0.16,50,1
1639175168,240.6,2.68,644.7,0.16,50,1
1639175168,240.5,2.68,644.2,0.16,50,1
1639175168,240.5,2.68,644.6,0.17,50,1
1639175168,240.6,2.68,645.1,0.17,50,1
1639175296,240.6,2.68,645.1,0.17,50,1
1639175296,240.7,2.68,645.9,0.17,50,1
1639175296,240.7,2.68,646,0.17,50,1
1639175296,240.7,2.68,645.9,0.17,50,1
1639175296,240.7,2.68,645.9,0.17,50,1
1639175296,240.7,2.68,645.7,0.17,50,1
1639175296,240.7,2.69,646.8,0.17,50,1
1639175296,240.7,2.68,645.7,0.18,50,1
1639175296,240.9,2.68,646.7,0.18,50,1
1639175296,240.7,2.68,645.8,0.19,50,1
1639175296,240.8,2.68,646.1,0.19,50,1
1639175296,240.6,2.68,645.5,0.19,50,1
1639175296,240.7,2.68,645.7,0.19,50,1
1639175296,240.8,2.68,646.3,0.19,50,1
1639175424,240.9,2.69,647.3,0.19,50,1
1639175424,241,2.69,647.5,0.19,50,1
1639175424,240.9,2.69,647.1,0.19,50,1
1639175424,240.9,2.69,647.1,0.19,50,1
1639175424,240.7,2.68,645.9,0.2,50,1
1639175424,240.8,2.69,647,0.2,50,1
1639175424,240.7,2.69,646.5,0.2,50,1
1639175424,240.7,2.68,646.1,0.2,50,1
1639175424,240.7,2.68,646.2,0.2,50,1
1639175424,240.8,2.68,646.5,0.2,50,1
1639175424,240.8,2.69,646.7,0.2,50,1
1639175424,240.9,2.69,647.1,0.2,50,1
1639175424,240.7,2.68,646.4,0.21,50,1
1639175424,240.7,2.68,646.2,0.21,50,1
1639175424,240.7,2.68,646.3,0.21,50,1
1639175424,240.7,2.68,646.1,0.21,50,1
1639175424,240.5,2.68,645.3,0.21,50,1
1639175424,240.5,2.68,645.1,0.21,50,1
1639175424,240.5,2.68,645,0.21,50,1
1639175424,0,0,0,0,0,0
1639175552,0,0,0,0,0,0
1639175552,0,0,0,0,0,0
1639175552,0,0,0,0,0,0
1639175552,0,0,0,0,0,0
1639175552,0,0,0,0,0,0
1639175552,0,0,0,0,0,0